episode: 7418/200000, score: -129.9, average: -103.60
episode: 7419/200000, score: -87.30000000000003, average: -102.65
episode: 7420/200000, score: -77.49999999999997, average: -101.96
episode: 7421/200000, score: -115.89999999999998, average: -103.94
episode: 7422/200000, score: -120.59999999999997, average: -103.23
episode: 7423/200000, score: -81.61600300000005, average: -101.77
episode: 7424/200000, score: -148.60000000000008, average: -101.81
episode: 7425/200000, score: -76.00000000000011, average: -101.05
episode: 7426/200000, score: -51.500000000000185, average: -99.08
episode: 7427/200000, score: -123.50000000000007, average: -98.90
episode: 7428/200000, score: -88.20000000000013, average: -98.57
episode: 7429/200000, score: -95.53680120000007, average: -98.56
episode: 7430/200000, score: -52.553600500000236, average: -96.87
episode: 7431/200000, score: -109.865603, average: -96.77
episode: 7432/200000, score: 129.00000000000097, average: -94.05
episode: 7433/200000, score: 193.13439699999483, average: -87.25
episode: 7434/200000, score: -119.89999999999998, average: -87.50
episode: 7435/200000, score: -71.6000000000002, average: -86.56
episode: 7436/200000, score: -117.00000000000011, average: -86.39
episode: 7437/200000, score: -130.8, average: -86.86
episode: 7438/200000, score: -132.20000000000005, average: -86.51
episode: 7439/200000, score: -144.80000000000004, average: -86.41
episode: 7440/200000, score: -92.96560300000004, average: -87.59
episode: 7441/200000, score: -116.19999999999997, average: -87.99
episode: 7442/200000, score: -81.70000000000007, average: -87.64
episode: 7443/200000, score: -149.20000000000007, average: -88.26
episode: 7444/200000, score: -124.19999999999997, average: -87.82
episode: 7445/200000, score: -46.81040000000015, average: -86.40
episode: 7446/200000, score: -99.81840060000007, average: -86.78
episode: 7447/200000, score: -121.8, average: -87.25
episode: 7448/200000, score: -112.89999999999998, average: -87.03
episode: 7449/200000, score: -113.70000399999999, average: -87.00
episode: 7450/200000, score: -123.90000000000002, average: -88.42
episode: 7451/200000, score: -47.20000000000019, average: -87.34
episode: 7452/200000, score: -137.5, average: -87.51
episode: 7453/200000, score: -124.10000000000002, average: -87.55
episode: 7454/200000, score: -113.59999999999998, average: -87.12
episode: 7455/200000, score: -102.50000399999999, average: -86.68
episode: 7456/200000, score: -150.00000000000017, average: -86.84
episode: 7457/200000, score: -58.96560299999972, average: -85.11
episode: 7458/200000, score: -134.4000000000001, average: -89.46
episode: 7459/200000, score: -104.20000000000003, average: -94.93
episode: 7460/200000, score: -146.10000000000014, average: -96.45
episode: 7461/200000, score: -67.60000000000008, average: -96.36
episode: 7462/200000, score: -118.59999999999998, average: -96.23
episode: 7463/200000, score: -140.70000000000005, average: -96.38
episode: 7464/200000, score: -150.10000000000008, average: -96.29
episode: 7465/200000, score: -108.29999999999998, average: -95.82
episode: 7466/200000, score: -50.78959999999998, average: -96.18
episode: 7467/200000, score: -127.4, average: -96.36
episode: 7468/200000, score: -147.70000000000005, average: -96.72
episode: 7469/200000, score: -112.69999999999999, average: -97.22
episode: 7470/200000, score: -20.154399999999427, average: -96.08
episode: 7471/200000, score: -149.20000000000005, average: -96.74
episode: 7472/200000, score: -105.79999999999995, average: -96.45
episode: 7473/200000, score: -56.600000000000094, average: -95.95
episode: 7474/200000, score: -151.20000000000005, average: -96.00
episode: 7475/200000, score: 71.60000000000048, average: -93.05
episode: 7476/200000, score: -89.00000000000017, average: -93.80
episode: 7477/200000, score: -151.70000000000005, average: -94.36
episode: 7478/200000, score: -104.58640300000002, average: -94.69
episode: 7479/200000, score: -133.90000000000003, average: -95.46
episode: 7480/200000, score: -112.19999999999999, average: -96.65
episode: 7481/200000, score: -32.24000399999956, average: -95.10
episode: 7482/200000, score: -82.2104000000001, average: -99.32
episode: 7483/200000, score: 98.80000000000092, average: -101.21
episode: 7484/200000, score: -111.6, average: -101.04
episode: 7485/200000, score: -126.80000000000001, average: -102.14
episode: 7486/200000, score: -68.66560300000017, average: -101.18
episode: 7487/200000, score: -61.23999999999998, average: -99.79
episode: 7488/200000, score: -153.30000000000007, average: -100.21
episode: 7489/200000, score: -125.6, average: -99.82
episode: 7490/200000, score: -119.3, average: -100.35
episode: 7491/200000, score: -103.90000000000006, average: -100.11
episode: 7492/200000, score: -90.21840060000005, average: -100.28
episode: 7493/200000, score: -140.70000000000005, average: -100.11
episode: 7494/200000, score: -155.20000000000013, average: -100.73
episode: 7495/200000, score: -95.1000000000001, average: -101.69
episode: 7496/200000, score: -89.4, average: -101.48
episode: 7497/200000, score: -134.20000000000002, average: -101.73
episode: 7498/200000, score: -121.79999999999998, average: -101.91
episode: 7499/200000, score: -74.80000000000027, average: -101.13
episode: 7500/200000, score: -90.45440000000002, average: -100.46
episode: 7501/200000, score: -129.4, average: -102.11
episode: 7502/200000, score: -81.56560300000028, average: -100.99
episode: 7503/200000, score: -95.70000399999995, average: -100.42
episode: 7504/200000, score: -130.90000000000006, average: -100.77
episode: 7505/200000, score: -137.70000000000005, average: -101.47
episode: 7506/200000, score: -39.30000400000003, average: -99.26
episode: 7507/200000, score: -126.20000000000002, average: -100.60
episode: 7508/200000, score: -133.8, average: -100.59
episode: 7509/200000, score: -60.30000000000008, average: -99.71
episode: 7510/200000, score: -111.19999999999999, average: -99.01
episode: 7511/200000, score: -113.19999999999999, average: -99.92
episode: 7512/200000, score: -96.70000000000009, average: -99.49
episode: 7513/200000, score: -114.20000000000009, average: -98.96
episode: 7514/200000, score: -101.965603, average: -97.99
episode: 7515/200000, score: -119.89999999999998, average: -98.23
episode: 7516/200000, score: 83.13999900000056, average: -95.55
episode: 7517/200000, score: 50.20000000000084, average: -92.00
episode: 7518/200000, score: -124.90000000000003, average: -91.54
episode: 7519/200000, score: -128.565603, average: -91.86
episode: 7520/200000, score: -155.00000000000003, average: -94.55
